,full_name,age,birthday_GMT,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_club_top_scorer
89,Cenk Tosun,31,6/7/1991,Forward,Everton,1050,536,514,Turkey,25,13,12,3,2,1,3,1,2,0,0,7,4,3,16,9,7,3,0,0.51,0.26,0.26,0.34,0.18,350,1.37,66,42,350,350,0.26,6
90,Cesar Azpilicueta,33,8/28/1989,Defender,Chelsea,3403,1693,1710,Spain,38,19,19,1,0,1,5,3,2,0,0,16,10,6,38,12,26,4,0,0.16,0.13,0.03,0,0.05,3403,1,90,90,851,681,0.11,14
92,Charlie Austin,33,7/5/1989,Forward,Southampton,980,454,526,England,25,13,12,2,1,1,2,1,1,0,1,6,3,3,14,6,8,1,0,0.37,0.18,0.18,0.2,0.17,490,1.29,70,39,980,490,0.09,8
93,Charlie Daniels,36,9/7/1986,Defender,AFC Bournemouth,1583,803,780,England,21,11,10,1,1,0,0,0,0,0,0,6,4,2,32,14,18,4,0,0.06,0,0.06,0.11,0,1583,1.82,49,75,396,0,0.23,12
98,Chris Smalling,32,11/22/1989,Defender,Manchester United,2128,1138,990,England,24,13,11,1,0,1,0,0,0,0,0,4,2,2,34,16,18,1,0,0.04,0,0.04,0,0.09,2128,1.44,63,89,2128,0,0.04,15
99,Chris Wood,30,12/7/1991,Forward,Burnley,2582,1330,1252,New Zealand,38,19,19,10,4,6,2,0,2,0,0,8,5,3,43,21,22,2,0,0.42,0.07,0.35,0.27,0.43,258,1.5,60,68,1291,1291,0.07,2
100,Christian Atsu Twasam,30,1/10/1992,Midfielder,Newcastle United,1487,710,777,Ghana,28,13,15,1,1,0,0,0,0,0,0,8,3,5,16,10,6,2,0,0.06,0,0.06,0.13,0,1487,0.97,93,53,744,0,0.12,7
101,Christian Benteke,31,12/3/1990,Forward,Crystal Palace,813,526,287,Belgium,16,10,6,1,0,1,1,0,1,0,0,5,3,2,10,6,4,1,0,0.22,0.11,0.11,0,0.31,813,1.11,81,51,813,813,0.11,10
102,Christian Eriksen,30,2/14/1992,Midfielder,Tottenham Hotspur,2772,1457,1315,Denmark,35,18,17,8,6,2,12,8,4,0,0,10,6,4,34,14,20,3,0,0.65,0.39,0.26,0.37,0.14,347,1.1,82,79,924,231,0.1,4
105,Christopher Schindler,32,4/29/1990,Defender,Huddersfield Town,3262,1642,1620,Germany,37,19,18,1,0,1,0,0,0,0,0,5,3,2,69,30,39,6,1,0.03,0,0.03,0,0.06,3262,1.9,47,88,544,0,0.17,9
106,Ciaran Clark,33,9/26/1989,Defender,Newcastle United,857,416,441,Republic of Ireland,11,6,5,3,1,2,0,0,0,0,0,2,0,2,14,9,5,1,0,0.32,0,0.32,0.22,0.41,286,1.47,61,78,857,0,0.11,4
110,Craig Cathcart,33,2/6/1989,Defender,Watford,3099,1561,1538,Northern Ireland,36,18,18,3,1,2,0,0,0,0,0,6,3,3,52,28,24,2,0,0.09,0,0.09,0.06,0.12,1033,1.51,60,86,1550,0,0.06,6
112,Dale Stephens,33,6/12/1989,Midfielder,Brighton & Hove Albion,2487,1191,1296,England,30,14,16,1,0,1,1,0,1,0,0,5,3,2,43,18,25,7,1,0.07,0.04,0.04,0,0.07,2487,1.56,58,83,311,2487,0.29,9
113,Dan Gosling,32,2/1/1990,Midfielder,AFC Bournemouth,1737,911,826,England,25,13,12,2,0,2,1,0,1,0,0,7,4,3,31,14,17,8,0,0.16,0.05,0.1,0,0.22,869,1.61,56,69,217,1737,0.41,8
115,Daniel Sturridge,33,9/1/1989,Forward,Liverpool,496,152,344,England,18,9,9,2,1,1,1,1,0,0,0,10,7,3,3,0,3,1,0,0.54,0.18,0.36,0.59,0.26,248,0.54,165,28,496,496,0.18,10
117,Danilo,31,7/15/1991,Defender,Manchester City,806,450,356,Brazil,11,5,6,1,0,1,0,0,0,0,0,5,3,2,7,2,5,1,0,0.11,0,0.11,0,0.25,806,0.78,115,73,806,0,0.11,13
118,Danny Ings,30,7/23/1992,Forward,Southampton,1668,922,746,England,24,13,11,7,3,4,3,3,0,3,0,6,2,4,26,13,13,1,0,0.54,0.16,0.38,0.29,0.48,238,1.4,64,70,1668,556,0.05,2
121,Danny Ward,31,12/9/1990,Forward,Cardiff City,440,246,194,England,14,6,8,1,1,0,0,0,0,0,0,2,0,2,11,8,3,0,0,0.2,0,0.2,0.37,0,440,2.25,40,31,0,0,0,10
122,Danny Welbeck,31,11/26/1990,Forward,Arsenal,147,47,100,England,8,4,4,1,1,0,1,0,1,0,0,2,2,0,2,0,2,0,0,1.22,0.61,0.61,1.91,0,147,1.22,74,18,0,147,0,13
124,David Brooks,25,7/8/1997,Forward,AFC Bournemouth,2278,1289,989,England,30,17,13,7,4,3,5,3,2,0,0,9,5,4,39,17,22,3,0,0.47,0.2,0.28,0.28,0.27,325,1.54,58,76,759,456,0.12,4
127,David Junior Hoilett,32,6/5/1990,Forward,Cardiff City,2142,1008,1134,Canada,32,17,15,3,2,1,1,0,1,0,0,9,5,4,42,20,22,4,0,0.17,0.04,0.13,0.18,0.08,714,1.76,51,67,536,2142,0.17,7
128,David Luiz,35,4/22/1987,Defender,Chelsea,3239,1709,1530,Brazil,36,19,17,3,3,0,2,1,1,0,0,16,10,6,35,12,23,3,0,0.14,0.06,0.08,0.16,0,1080,0.97,93,90,1080,1620,0.08,9
129,David Silva,36,1/8/1986,Midfielder,Manchester City,2411,1088,1323,Spain,33,16,17,6,4,2,8,3,5,0,0,17,8,9,14,7,7,3,0,0.52,0.3,0.22,0.33,0.14,402,0.52,172,73,804,301,0.11,7
131,Davinson Sanchez,26,6/12/1996,Defender,Tottenham Hotspur,1943,873,1070,Colombia,23,10,13,1,1,0,1,0,1,0,0,6,3,3,21,9,12,2,0,0.09,0.05,0.05,0.1,0,1943,0.97,93,84,972,1943,0.09,13
132,Davy Propper,31,9/2/1991,Midfielder,Brighton & Hove Albion,2551,1371,1180,Netherlands,30,16,14,1,0,1,1,0,1,0,0,5,4,1,44,19,25,2,0,0.07,0.04,0.04,0,0.08,2551,1.55,58,85,1276,2551,0.07,10
133,DeAndre Yedlin,29,7/9/1993,Defender,Newcastle United,2475,1313,1162,USA,29,16,13,1,0,1,2,1,1,0,0,6,4,2,37,19,18,7,1,0.11,0.07,0.04,0,0.08,2475,1.35,67,85,309,1238,0.29,13
134,Declan Rice,23,1/14/1999,Midfielder,West Ham United,3005,1440,1565,Republic of Ireland,34,16,18,2,2,0,0,0,0,0,0,6,3,3,42,21,21,4,0,0.06,0,0.06,0.13,0,1503,1.26,72,88,751,0,0.12,9
135,Dejan Lovren,33,7/5/1989,Defender,Liverpool,985,540,445,Croatia,13,7,6,1,1,0,0,0,0,0,0,6,3,3,7,3,4,1,0,0.09,0,0.09,0.17,0,985,0.64,141,76,985,0,0.09,12
136,Dele Alli,26,4/11/1996,Midfielder,Tottenham Hotspur,1827,755,1072,England,25,11,14,5,1,4,3,2,1,0,0,7,3,4,17,4,13,4,0,0.39,0.15,0.25,0.12,0.34,365,0.84,107,73,457,609,0.2,5
137,Demarai Gray,26,6/28/1996,Midfielder,Leicester City,1992,1069,923,England,34,17,17,4,1,3,1,1,0,0,0,8,5,3,26,10,16,2,0,0.23,0.05,0.18,0.08,0.29,498,1.17,77,59,996,1992,0.09,3
143,Diogo Jose Teixeira da Silva,25,12/4/1996,Midfielder,Wolverhampton Wanderers,2371,1210,1161,Portugal,33,16,17,9,7,2,5,3,2,0,0,9,7,2,29,11,18,11,0,0.53,0.19,0.34,0.52,0.16,263,1.1,82,72,216,474,0.42,2
144,Divock Origi,27,4/18/1995,Forward,Liverpool,366,176,190,Belgium,12,5,7,3,2,1,1,0,1,0,0,7,4,3,2,0,2,0,0,0.98,0.25,0.74,1.02,0.47,122,0.49,183,31,0,366,0,7
145,Domingos Quina,22,11/18/1999,Midfielder,Watford,335,217,118,Portugal,8,5,3,1,1,0,0,0,0,0,0,1,0,1,5,3,2,0,0,0.27,0,0.27,0.41,0,335,1.34,67,42,0,0,0,13
146,Dominic Calvert-Lewin,25,3/16/1997,Forward,Everton,1774,1023,751,England,35,18,17,6,3,3,2,2,0,0,0,13,8,5,24,12,12,3,0,0.41,0.1,0.3,0.26,0.36,296,1.22,74,51,591,887,0.15,3
148,Dwight McNeil,22,11/22/1999,Forward,Burnley,1599,941,658,England,21,12,9,3,3,0,5,3,2,0,0,4,3,1,22,12,10,2,0,0.45,0.28,0.17,0.29,0,533,1.24,73,76,800,320,0.11,7
149,Eden Hazard,31,1/7/1991,Midfielder,Chelsea,2926,1527,1399,Belgium,37,19,18,16,11,5,15,10,5,4,0,15,10,5,34,9,25,2,0,0.95,0.46,0.49,0.65,0.32,183,1.05,86,79,1463,195,0.06,1
151,Edward Nketiah,23,5/30/1999,Forward,Arsenal,62,4,58,England,5,1,4,1,0,1,0,0,0,0,0,1,1,0,2,0,2,0,0,1.45,0,1.45,0,1.55,62,2.9,31,12,0,0,0,14
156,Eric Dier,28,1/15/1994,Midfielder,Tottenham Hotspur,1510,674,836,England,20,9,11,3,2,1,0,0,0,0,0,6,2,4,16,8,8,4,0,0.18,0,0.18,0.27,0.11,503,0.95,94,76,378,0,0.24,7
158,Erik Lamela,30,3/4/1992,Midfielder,Tottenham Hotspur,971,493,478,Argentina,19,11,8,4,1,3,2,1,1,0,0,5,3,2,11,5,6,2,0,0.56,0.19,0.37,0.18,0.56,243,1.02,88,51,486,486,0.19,6
159,Etienne Capoue,34,7/11/1988,Midfielder,Watford,2947,1518,1429,France,33,17,16,1,0,1,3,2,1,0,0,7,4,3,47,24,23,15,1,0.12,0.09,0.03,0,0.06,2947,1.44,63,89,184,982,0.49,9
160,Fabian Balbuena,31,8/23/1991,Defender,West Ham United,2014,934,1080,Paraguay,23,11,12,1,0,1,0,0,0,0,0,5,2,3,27,13,14,2,0,0.04,0,0.04,0,0.08,2014,1.21,75,88,1007,0,0.09,10
162,Fabian Scher,30,12/20/1991,Defender,Newcastle United,2002,1173,829,Switzerland,24,14,10,4,3,1,1,0,1,0,0,8,5,3,21,14,7,12,0,0.22,0.04,0.18,0.23,0.11,501,0.94,95,83,167,2002,0.54,3
163,Fabinho,29,10/23/1993,Midfielder,Liverpool,2013,1051,962,Brazil,28,14,14,1,1,0,2,1,1,0,0,15,7,8,13,6,7,6,0,0.13,0.09,0.04,0.09,0,2013,0.58,155,72,336,1007,0.27,15
167,Felipe Anderson,29,4/15/1993,Midfielder,West Ham United,3054,1439,1615,Brazil,36,17,19,9,4,5,4,2,2,0,0,6,3,3,43,21,22,3,0,0.38,0.12,0.27,0.25,0.28,339,1.27,71,85,1018,764,0.09,2
168,Fernandinho,37,5/4/1985,Midfielder,Manchester City,2381,1286,1095,Brazil,29,15,14,1,1,0,3,3,0,0,0,16,7,9,15,8,7,5,0,0.15,0.11,0.04,0.07,0,2381,0.57,159,82,476,794,0.19,15
169,Fernando Llorente Torres,37,2/26/1985,Forward,Tottenham Hotspur,683,508,175,Spain,20,11,9,1,1,0,4,4,0,0,0,7,5,2,8,5,3,2,0,0.66,0.53,0.13,0.18,0,683,1.05,85,34,342,171,0.26,8
172,Florin Andone,29,4/11/1993,Forward,Brighton & Hove Albion,874,416,458,Romania,23,12,11,3,2,1,0,0,0,0,0,3,3,0,13,5,8,5,0,0.31,0,0.31,0.43,0.2,291,1.34,67,38,175,0,0.51,3
173,Floyd Ayite,33,12/15/1988,Midfielder,Fulham,465,296,169,Togo,16,7,9,1,0,1,0,0,0,0,0,3,1,2,13,7,6,0,0,0.19,0,0.19,0,0.53,465,2.52,36,29,0,0,0,9
176,Fred,29,3/5/1993,Midfielder,Manchester United,1045,577,468,Brazil,17,9,8,1,1,0,1,0,1,0,0,0,0,0,19,8,11,2,0,0.17,0.09,0.09,0.16,0,1045,1.64,55,61,523,1045,0.17,12
177,Gabriel Jesus,25,4/3/1997,Forward,Manchester City,1019,702,317,Brazil,29,14,15,7,5,2,3,1,2,1,0,16,7,9,11,7,4,1,0,0.88,0.26,0.62,0.64,0.57,146,0.97,93,35,1019,340,0.09,4
182,Georginio Wijnaldum,31,11/11/1990,Midfielder,Liverpool,2735,1413,1322,Netherlands,35,18,17,3,1,2,0,0,0,0,0,21,12,9,15,6,9,3,0,0.1,0,0.1,0.06,0.14,912,0.49,182,78,912,0,0.1,8
183,Gerard Deulofeu,28,3/13/1994,Forward,Watford,2082,949,1133,Spain,30,14,16,10,3,7,5,3,2,0,0,6,3,3,28,11,17,3,0,0.65,0.22,0.43,0.28,0.56,208,1.21,74,69,694,416,0.13,1
184,Glenn Murray,39,9/25/1983,Forward,Brighton & Hove Albion,2513,1383,1130,England,38,19,19,13,8,5,1,1,0,4,0,7,5,2,44,22,22,5,0,0.5,0.04,0.47,0.52,0.4,193,1.58,57,66,503,2513,0.18,1
185,Gonzalo Higuain,34,12/10/1987,Forward,Chelsea,1092,496,596,Argentina,14,6,8,5,4,1,0,0,0,0,0,5,4,1,15,3,12,0,0,0.41,0,0.41,0.73,0.15,218,1.24,73,78,0,0,0,5
187,Granit Xhaka,30,9/27/1992,Midfielder,Arsenal,2502,1317,1185,Switzerland,29,15,14,4,2,2,2,0,2,0,0,7,6,1,35,11,24,10,0,0.22,0.07,0.14,0.14,0.15,626,1.26,71,86,250,1251,0.36,6
189,Gylfi Sigurdsson,33,9/8/1989,Midfielder,Everton,3134,1602,1532,Iceland,38,19,19,13,7,6,6,2,4,2,3,14,9,5,40,19,21,3,0,0.55,0.17,0.37,0.39,0.35,241,1.15,78,82,1045,522,0.09,2
192,Harry Kane,29,7/28/1993,Forward,Tottenham Hotspur,2427,1066,1361,England,28,12,16,17,6,11,4,2,2,4,0,10,4,6,28,10,18,5,0,0.78,0.15,0.63,0.51,0.73,143,1.04,87,87,485,607,0.19,1
193,Harry Maguire,29,3/5/1993,Defender,Leicester City,2599,1350,1249,England,31,15,16,3,0,3,0,0,0,0,0,7,3,4,36,16,20,7,1,0.1,0,0.1,0,0.22,866,1.25,72,84,325,0,0.28,5
194,Harry Winks,26,2/2/1996,Midfielder,Tottenham Hotspur,1591,832,759,England,26,13,13,1,0,1,0,0,0,0,0,10,4,6,16,8,8,4,0,0.06,0,0.06,0,0.12,1591,0.91,99,61,398,0,0.23,9
195,Harvey Barnes,24,12/9/1997,Midfielder,Leicester City,1007,601,406,England,16,9,7,1,0,1,2,2,0,0,0,3,3,0,16,7,9,0,0,0.27,0.18,0.09,0,0.22,1007,1.43,63,63,0,504,0,10
198,Helder Wander Sousa Azevedo Costa,28,1/12/1994,Midfielder,Wolverhampton Wanderers,1345,657,688,Portugal,25,11,14,1,0,1,2,1,1,0,0,5,3,2,18,10,8,3,0,0.2,0.13,0.07,0,0.13,1345,1.2,75,54,448,673,0.2,9
199,Henrikh Mkhitaryan,33,1/21/1989,Midfielder,Arsenal,1643,650,993,Armenia,25,11,14,6,3,3,4,3,1,0,0,4,3,1,25,9,16,1,0,0.55,0.22,0.33,0.42,0.27,274,1.37,66,66,1643,411,0.05,3
200,Heung-Min Son,30,7/8/1992,Forward,Tottenham Hotspur,2048,1161,887,South Korea,31,16,15,12,8,4,6,2,4,0,0,11,7,4,20,8,12,3,1,0.79,0.26,0.53,0.62,0.41,171,0.88,102,66,512,341,0.18,2
204,Ilkay Gundogan,32,10/24/1990,Midfielder,Manchester City,2135,985,1150,Germany,31,15,16,6,4,2,3,0,3,0,0,15,6,9,15,8,7,3,0,0.38,0.13,0.25,0.37,0.16,356,0.63,142,69,712,712,0.13,8
205,Isaac Hayden,27,3/22/1995,Midfielder,Newcastle United,1886,904,982,England,25,11,14,1,0,1,4,4,0,0,0,7,3,4,25,12,13,4,1,0.24,0.19,0.05,0,0.09,1886,1.19,75,75,377,472,0.24,10
206,Isaac Mbenza,26,3/8/1996,Forward,Huddersfield Town,981,589,392,Belgium,22,13,9,1,1,0,1,1,0,0,0,4,2,2,25,15,10,1,0,0.18,0.09,0.09,0.15,0,981,2.29,39,45,981,981,0.09,11
207,Isaac Success,26,1/7/1996,Forward,Watford,1037,461,576,Nigeria,30,15,15,1,1,0,1,0,1,0,0,5,3,2,20,8,12,4,0,0.17,0.09,0.09,0.2,0,1037,1.74,52,35,259,1037,0.35,10
208,Issa Diop,25,1/9/1997,Defender,West Ham United,2970,1530,1440,France,33,17,16,1,1,0,0,0,0,0,0,7,4,3,38,20,18,4,0,0.03,0,0.03,0.06,0,2970,1.15,78,90,743,0,0.12,14
209,Ivan Ricardo Neves Abreu Cavaleiro,29,10/18/1993,Forward,Wolverhampton Wanderers,683,331,352,Portugal,23,13,10,3,2,1,1,0,1,0,0,5,4,1,10,7,3,1,0,0.53,0.13,0.4,0.54,0.26,228,1.32,68,30,683,683,0.13,6
210,Jack Cork,33,6/25/1989,Midfielder,Burnley,3313,1693,1620,England,37,19,18,1,1,0,2,1,1,0,0,8,5,3,54,27,27,6,0,0.08,0.05,0.03,0.05,0,3313,1.47,61,90,552,1657,0.16,11
212,Jack Stephens,28,1/27/1994,Defender,Southampton,1697,816,881,England,24,10,14,1,1,0,0,0,0,0,0,5,2,3,30,11,19,4,0,0.05,0,0.05,0.11,0,1697,1.59,57,71,424,0,0.21,14
216,James Maddison,25,11/23/1996,Midfielder,Leicester City,2850,1535,1315,England,36,18,18,7,3,4,7,4,3,1,1,8,5,3,39,18,21,5,1,0.44,0.22,0.22,0.18,0.27,407,1.23,73,79,570,407,0.16,2
217,James McArthur,35,10/7/1987,Midfielder,Crystal Palace,3071,1506,1565,Scotland,38,19,19,3,1,2,6,1,5,0,0,12,7,5,44,19,25,7,0,0.26,0.18,0.09,0.06,0.12,1024,1.29,70,81,439,512,0.21,7
219,James Milner,36,1/4/1986,Midfielder,Liverpool,1785,646,1139,England,31,12,19,5,0,5,4,2,2,3,0,18,9,9,11,4,7,7,1,0.45,0.2,0.25,0,0.4,357,0.55,162,58,255,446,0.35,5
220,James Tarkowski,29,11/19/1992,Defender,Burnley,3087,1620,1467,England,35,18,17,3,2,1,1,1,0,0,0,7,5,2,52,25,27,8,0,0.12,0.03,0.09,0.11,0.06,1029,1.52,59,88,386,3087,0.23,4
221,James Tomkins,33,3/29/1989,Defender,Crystal Palace,2563,1140,1423,England,29,13,16,1,0,1,1,0,1,0,0,10,5,5,34,12,22,6,0,0.07,0.04,0.04,0,0.06,2563,1.19,75,88,427,2563,0.21,9
222,James Ward-Prowse,27,11/1/1994,Midfielder,Southampton,1942,942,1000,England,26,13,13,7,5,2,0,0,0,1,0,4,2,2,36,15,21,4,0,0.32,0,0.32,0.48,0.18,277,1.67,54,75,486,0,0.19,1
223,Jamie Vardy,35,1/11/1987,Forward,Leicester City,2735,1418,1317,England,34,17,17,18,8,10,4,3,1,4,1,10,6,4,33,13,20,4,1,0.72,0.13,0.59,0.51,0.68,152,1.09,83,80,547,684,0.16,1
225,Jan Vertonghen,35,4/24/1987,Defender,Tottenham Hotspur,1915,884,1031,Belgium,22,10,12,1,0,1,0,0,0,0,0,7,4,3,21,7,14,5,1,0.05,0,0.05,0,0.09,1915,0.99,91,87,383,0,0.23,10
228,Javier Hernandez,34,6/1/1988,Forward,West Ham United,1335,694,641,Mexico,25,13,12,7,5,2,1,0,1,0,0,3,1,2,16,8,8,2,0,0.54,0.07,0.47,0.65,0.28,191,1.08,83,53,668,1335,0.13,3
231,Jean Michael Seri,31,7/19/1991,Midfielder,Fulham,2252,1112,1140,Ivory Coast,32,15,17,1,1,0,2,0,2,0,0,4,2,2,53,23,30,6,0,0.12,0.08,0.04,0.08,0,2252,2.12,42,70,375,1126,0.24,7
232,Jeff Hendrick,30,1/31/1992,Midfielder,Burnley,2069,898,1171,Republic of Ireland,32,15,17,3,1,2,0,0,0,0,0,6,3,3,41,18,23,4,0,0.13,0,0.13,0.1,0.15,690,1.78,50,65,517,0,0.17,6
233,Jefferson Lerma,28,10/25/1994,Midfielder,AFC Bournemouth,2511,1319,1192,Colombia,30,15,15,2,0,2,0,0,0,0,0,8,4,4,45,18,27,12,0,0.07,0,0.07,0,0.15,1256,1.61,56,84,209,0,0.43,6
234,Jeffrey Schlupp,29,12/23/1992,Defender,Crystal Palace,1665,849,816,Ghana,30,14,16,4,1,3,1,1,0,0,0,8,4,4,24,11,13,1,0,0.27,0.05,0.22,0.11,0.33,416,1.3,69,56,1665,1665,0.05,5
236,Jesse Lingard,29,12/15/1992,Midfielder,Manchester United,1668,963,705,England,27,15,12,4,1,3,2,1,1,1,0,6,2,4,25,16,9,3,0,0.32,0.11,0.22,0.09,0.38,417,1.35,67,62,556,834,0.16,5
237,Joao Moutinho,36,9/8/1986,Midfielder,Wolverhampton Wanderers,3040,1532,1508,Portugal,38,19,19,1,0,1,8,5,3,0,0,9,7,2,37,17,20,4,0,0.27,0.24,0.03,0,0.06,3040,1.1,82,80,760,380,0.12,11
244,Joel Matip,31,8/8/1991,Defender,Liverpool,1532,811,721,Cameroon,22,10,12,1,1,0,0,0,0,0,0,11,6,5,9,5,4,3,0,0.06,0,0.06,0.11,0,1532,0.53,170,70,511,0,0.18,11
245,Joel Ward,32,10/29/1989,Defender,Crystal Palace,551,191,360,England,7,3,4,1,1,0,0,0,0,0,0,0,0,0,12,6,6,1,0,0.16,0,0.16,0.47,0,551,1.96,46,79,551,0,0.16,11
246,Johann Berg Gudmundson,32,10/27/1990,Midfielder,Burnley,1748,847,901,Iceland,29,15,14,3,0,3,6,5,1,0,0,6,4,2,31,13,18,2,0,0.46,0.31,0.15,0,0.3,583,1.6,56,60,874,291,0.1,5
249,Jon Gorenc Stankovic,26,1/14/1996,Defender,Huddersfield Town,718,218,500,Slovenia,11,3,8,1,0,1,0,0,0,0,0,2,1,1,19,3,16,2,0,0.13,0,0.13,0,0.18,718,2.38,38,65,359,0,0.25,8
252,Jonjo Shelvey,30,2/27/1992,Midfielder,Newcastle United,944,403,541,England,16,8,8,1,0,1,1,0,1,0,0,5,1,4,11,8,3,1,0,0.19,0.1,0.1,0,0.17,944,1.05,86,59,944,944,0.1,12
254,Jonny,28,3/3/1994,Defender,Wolverhampton Wanderers,2780,1269,1511,Spain,33,16,17,1,1,0,1,1,0,0,0,8,6,2,36,16,20,6,0,0.06,0.03,0.03,0.07,0,2780,1.17,77,84,463,2780,0.19,12
255,Jonny Evans,34,1/3/1988,Defender,Leicester City,1995,1074,921,Northern Ireland,24,12,12,1,1,0,0,0,0,0,0,8,6,2,22,9,13,2,0,0.05,0,0.05,0.08,0,1995,0.99,91,83,998,0,0.09,11
256,Jordan Ayew,31,9/11/1991,Forward,Crystal Palace,1186,616,570,Ghana,20,8,12,1,0,1,2,0,2,0,0,6,3,3,13,7,6,3,0,0.23,0.15,0.08,0,0.16,1186,0.99,91,59,395,593,0.23,12
257,Jordan Henderson,32,6/17/1990,Midfielder,Liverpool,1983,925,1058,England,32,16,16,1,0,1,3,2,1,0,0,19,10,9,11,4,7,3,1,0.18,0.14,0.05,0,0.09,1983,0.5,180,62,661,661,0.14,14
259,Jordon Ibe,26,12/8/1995,Midfielder,AFC Bournemouth,795,334,461,England,19,10,9,1,0,1,1,1,0,0,0,4,4,0,21,3,18,1,0,0.23,0.11,0.11,0,0.2,795,2.38,38,42,795,795,0.11,13
260,Jorginho,30,12/20/1991,Midfielder,Chelsea,3165,1621,1544,Italy,37,19,18,2,0,2,0,0,0,1,0,16,10,6,36,12,24,8,0,0.06,0,0.06,0,0.12,1583,1.02,88,86,396,0,0.23,11
261,Jose Holebas,38,6/27/1984,Defender,Watford,2394,1224,1170,Greece,28,15,13,3,2,1,6,5,1,0,0,5,3,2,38,20,18,13,1,0.34,0.23,0.11,0.15,0.08,798,1.43,63,86,171,399,0.53,7
263,Joselu,32,3/27/1990,Forward,Newcastle United,586,308,278,Spain,16,9,7,2,2,0,0,0,0,0,0,4,2,2,12,8,4,1,0,0.31,0,0.31,0.58,0,293,1.84,49,37,586,0,0.15,5
265,Josh Murphy,27,2/24/1995,Forward,Cardiff City,1825,1123,702,England,29,17,12,3,2,1,2,1,1,0,0,7,4,3,27,20,7,2,0,0.25,0.1,0.15,0.16,0.13,608,1.33,68,63,913,913,0.1,6
266,Joshua King,30,1/15/1992,Forward,AFC Bournemouth,2974,1563,1411,Norway,35,18,17,12,9,3,3,3,0,5,1,9,6,3,54,20,34,3,0,0.45,0.09,0.36,0.52,0.19,248,1.63,55,85,991,991,0.09,2
268,Juan Foyth,24,1/12/1998,Defender,Tottenham Hotspur,930,450,480,Argentina,12,6,6,1,0,1,0,0,0,0,0,4,3,1,10,2,8,4,1,0.1,0,0.1,0,0.19,930,0.97,93,78,186,0,0.48,14
269,Juan Mata,34,4/28/1988,Midfielder,Manchester United,1294,833,461,Spain,22,13,9,3,3,0,2,2,0,0,0,4,2,2,14,6,8,3,0,0.35,0.14,0.21,0.32,0,431,0.97,92,59,431,647,0.21,6
271,Juninho Bacuna,25,8/7/1997,Midfielder,Huddersfield Town,1414,722,692,Netherlands,21,11,10,1,0,1,0,0,0,0,0,2,2,0,36,15,21,4,0,0.06,0,0.06,0,0.13,1414,2.29,39,67,354,0,0.25,7
272,Junior Stanislas,32,11/26/1989,Midfielder,AFC Bournemouth,1027,559,468,England,23,12,11,2,1,1,3,3,0,1,0,7,4,3,24,8,16,1,0,0.44,0.26,0.18,0.16,0.19,514,2.1,43,45,1027,342,0.09,7
273,Jergen Locadia,28,11/7/1993,Forward,Brighton & Hove Albion,1227,590,637,Netherlands,26,14,12,2,2,0,0,0,0,0,0,4,3,1,19,9,10,1,0,0.15,0,0.15,0.31,0,614,1.39,65,47,1227,0,0.07,7
274,Kadeem Harris,29,6/8/1993,Midfielder,Cardiff City,366,133,233,England,13,5,8,1,1,0,0,0,0,0,0,4,1,3,5,1,4,1,0,0.25,0,0.25,0.68,0,366,1.23,73,28,366,0,0.25,11
275,Karlan Ahearne-Grant,24,12/19/1997,Forward,Huddersfield Town,874,331,543,England,13,6,7,4,2,2,0,0,0,0,0,1,1,0,22,7,15,0,0,0.41,0,0.41,0.54,0.33,219,2.27,40,67,0,0,0,1
278,Kelechi Iheanacho,26,10/3/1996,Forward,Leicester City,926,408,518,Nigeria,30,14,16,1,1,0,3,2,1,0,0,6,4,2,11,5,6,2,0,0.39,0.29,0.1,0.22,0,926,1.07,84,31,463,309,0.19,13
279,Ken Sema,29,9/30/1993,Midfielder,Watford,755,301,454,Sweden,17,8,9,1,0,1,2,1,1,0,0,6,4,2,8,3,5,1,0,0.36,0.24,0.12,0,0.2,755,0.95,94,44,755,378,0.12,14
280,Kenneth Dahrup Zohore,28,1/31/1994,Forward,Cardiff City,746,388,358,Denmark,19,11,8,1,0,1,1,0,1,0,0,5,2,3,15,9,6,1,0,0.24,0.12,0.12,0,0.25,746,1.81,50,39,746,746,0.12,12
282,Kevin De Bruyne,31,6/28/1991,Midfielder,Manchester City,974,477,497,Belgium,19,9,10,2,2,0,2,0,2,0,0,12,6,6,3,1,2,2,0,0.37,0.18,0.18,0.38,0,487,0.28,325,51,487,487,0.18,10
286,Kieran Trippier,32,9/19/1990,Defender,Tottenham Hotspur,2278,1188,1090,England,27,14,13,1,1,0,3,0,3,0,0,10,5,5,20,10,10,2,0,0.16,0.12,0.04,0.08,0,2278,0.79,114,84,1139,759,0.08,12
