,full_name,age,birthday_GMT,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_club_top_scorer
433,Scott McTominay,25,12/8/1996,Midfielder,Manchester United,861,345,516,England,16,7,9,2,0,2,0,0,0,0,0,3,1,2,17,6,11,1,0,0.21,0,0.21,0,0.35,431,1.78,51,54,861,0,0.1,8
435,Seamus Coleman,34,10/11/1988,Defender,Everton,2560,1333,1227,Republic of Ireland,29,15,14,2,2,0,2,0,2,0,0,13,8,5,29,15,14,1,0,0.14,0.07,0.07,0.14,0,1280,1.02,88,88,2560,1280,0.04,8
436,Sean Longstaff,25,10/30/1997,Midfielder,Newcastle United,688,355,333,England,9,4,5,1,1,0,0,0,0,0,0,3,3,0,8,1,7,2,0,0.13,0,0.13,0.25,0,688,1.05,86,76,344,0,0.26,11
437,Sean Morrison,31,1/8/1991,Defender,Cardiff City,3040,1600,1440,England,34,18,16,1,0,1,3,2,1,0,0,9,4,5,57,34,23,6,0,0.12,0.09,0.03,0,0.06,3040,1.69,53,89,507,1013,0.18,8
440,Sergio Aguero,34,6/2/1988,Forward,Manchester City,2480,1125,1355,Argentina,33,16,17,21,15,6,8,5,3,2,0,19,8,11,15,8,7,3,0,1.05,0.29,0.76,1.2,0.4,118,0.54,165,75,827,310,0.11,1
442,Shane Duffy,30,1/1/1992,Defender,Brighton & Hove Albion,3088,1558,1530,Republic of Ireland,35,18,17,5,2,3,1,1,0,0,0,7,5,2,51,23,28,5,1,0.17,0.03,0.15,0.12,0.18,618,1.49,61,88,515,3088,0.17,2
443,Shane Long,35,1/22/1987,Forward,Southampton,1269,629,640,Republic of Ireland,26,15,11,5,3,2,1,1,0,0,0,5,2,3,20,7,13,3,0,0.43,0.07,0.35,0.43,0.28,254,1.42,63,49,423,1269,0.21,4
445,Shkodran Mustafi,30,4/17/1992,Defender,Arsenal,2617,1263,1354,Germany,31,15,16,2,0,2,0,0,0,0,0,6,5,1,36,12,24,9,0,0.07,0,0.07,0,0.13,1309,1.24,73,84,291,0,0.31,9
447,Sokratis Papastathopoulos,34,6/9/1988,Defender,Arsenal,2199,1119,1080,Greece,25,13,12,1,0,1,2,2,0,0,0,6,6,0,31,9,22,12,0,0.12,0.08,0.04,0,0.08,2199,1.27,71,88,183,1100,0.49,12
448,Solly March,28,7/20/1994,Midfielder,Brighton & Hove Albion,2473,1153,1320,England,35,16,19,1,1,0,5,1,4,0,0,6,4,2,39,13,26,1,0,0.22,0.18,0.04,0.08,0,2473,1.42,63,71,2473,495,0.04,11
449,Souleymane Bamba,37,1/13/1985,Defender,Cardiff City,2475,1260,1215,Ivory Coast,28,14,14,4,2,2,1,1,0,0,0,7,4,3,46,23,23,7,0,0.18,0.04,0.15,0.14,0.15,619,1.67,54,88,354,2475,0.25,4
454,Steve Cook,31,4/19/1991,Defender,AFC Bournemouth,2787,1350,1437,England,31,15,16,1,0,1,1,0,1,0,0,9,6,3,53,17,36,3,0,0.06,0.03,0.03,0,0.06,2787,1.71,53,90,929,2787,0.1,9
455,Steve Mounie,28,9/29/1994,Forward,Huddersfield Town,1777,1009,768,Benin,31,16,15,2,2,0,3,1,2,0,0,5,3,2,34,15,19,2,1,0.25,0.15,0.1,0.18,0,889,1.72,52,57,592,592,0.15,6
458,Stuart Armstrong,30,3/30/1992,Midfielder,Southampton,1432,469,963,Scotland,29,11,18,3,1,2,2,1,1,0,0,4,1,3,23,8,15,2,0,0.31,0.13,0.19,0.19,0.19,477,1.45,62,49,716,716,0.13,6
460,Terence Kongolo,28,2/14/1994,Defender,Huddersfield Town,2722,1405,1317,Netherlands,32,17,15,1,0,1,1,0,1,0,0,4,3,1,62,27,35,4,0,0.07,0.03,0.03,0,0.07,2722,2.05,44,85,681,2722,0.13,10
461,Theo Walcott,33,3/16/1989,Forward,Everton,2122,1114,1008,England,37,19,18,5,3,2,2,2,0,0,0,13,9,4,33,18,15,1,0,0.3,0.08,0.21,0.24,0.18,424,1.4,64,57,2122,1061,0.04,4
465,Tom Cairney,31,1/20/1991,Midfielder,Fulham,2198,1107,1091,Scotland,31,16,15,1,1,0,1,1,0,0,0,4,3,1,49,21,28,0,0,0.08,0.04,0.04,0.08,0,2198,2.01,45,71,0,2198,0,10
466,Tom Cleverley,33,8/12/1989,Midfielder,Watford,470,102,368,England,13,4,9,1,0,1,0,0,0,0,0,4,2,2,7,0,7,2,0,0.19,0,0.19,0,0.24,470,1.34,67,36,235,0,0.38,11
470,Trent Alexander-Arnold,24,10/7/1998,Defender,Liverpool,2467,1266,1201,England,29,15,14,1,0,1,12,8,4,0,0,16,11,5,14,4,10,3,0,0.47,0.44,0.04,0,0.07,2467,0.51,176,85,822,206,0.11,13
